uniprot,Protein.Acc,Protein.Descriptions,up/low,P value.(up/low)
Q9LJP4,AT3G28180.1,Cellulose-synthase-like C4,0.724217787,0.000477462
Q9SJZ2,AT2G22420.1,Peroxidase superfamily protein,0.724129204,0.000100628
Q9LIS2,AT3G23830.1,glycine-rich RNA-binding protein 4,0.723959361,0.006220904
Q94JQ4,AT3G20390.1,endoribonuclease L-PSP family protein,0.723912273,0.000589698
Q9FG23,AT5G06830.1,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF773 (InterPro:IPR008491); Has 365 Blast hits to 359 proteins in 109 species: Archae - 9; Bacteria - 13; Metazoa - 209; Fungi - 7; Plants - 47; Viruses - 0; Other Eukaryotes - 80 (source: NCBI BLink).,0.723324708,3.57049E-05
Q66GS2,AT2G26100.1,Galactosyltransferase family protein,0.72287253,9.83878E-05
Q9LUK2,AT5G40040.1,60S acidic ribosomal protein family,0.722757259,0.0111403
O23087,AT4G00900.1,ER-type Ca2+-ATPase 2,0.722637299,0.000111443
Q8L641,AT3G52170.1,DNA binding,0.721258115,0.004292317
Q39227,AT1G20330.1,sterol methyltransferase 2,0.719944246,0.000249688
Q9C5J7,AT5G56630.1,phosphofructokinase 7,0.719655314,0.000698897
O23357,AT4G15040.1,Subtilisin-like serine endopeptidase family protein,0.719345429,0.000788
Q8LF48,AT1G04710.1,peroxisomal 3-ketoacyl-CoA thiolase  4,0.718978232,0.000405273
O49447,AT4G28390.1,ADP/ATP carrier 3,0.718879899,2.11311E-05
Q8S528,AT1G23800.1,aldehyde dehydrogenase 2B7,0.718651591,0.000298596
Q9SRL6,AT3G11070.1,Outer membrane OMP85 family protein,0.717069823,0.029439777
O23238,AT4G36420.1,Ribosomal protein L12 family protein,0.716863369,0.003585056
Q9FNN5,AT5G08530.1,51 kDa subunit of complex I,0.716593032,0.080183386
Q9C6M1,AT1G25520.1,Uncharacterized protein family (UPF0016),0.715841966,0.090102977
Q9M0A0,AT4G30600.1,signal recognition particle receptor alpha subunit family protein,0.715513495,3.61059E-05
Q9LYC9,AT3G62920.1,unknown protein; Has 25 Blast hits to 25 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.715507877,0.000103348
O80704,AT1G61990.1,Mitochondrial transcription termination factor family protein,0.714779817,0.008162735
Q8H112,AT4G22890.1,PGR5-LIKE A,0.714406341,0.220972457
Q0WR81,AT4G17085.1,Putative membrane lipoprotein,0.713083235,0.004049791
O65202,AT4G16760.1,acyl-CoA oxidase 1,0.71302712,0.000261471
Q24JN5,AT2G17720.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,0.712585055,3.82564E-05
O48780,AT2G26640.1,3-ketoacyl-CoA synthase 11,0.711905444,0.012462894
Q9LSW5,AT5G43460.1,HR-like lesion-inducing protein-related,0.711783399,0.010231875
Q2V3Z2,AT3G02510.1,Regulator of chromosome condensation (RCC1) family protein,0.710031512,0.070019923
Q9SCK9,AT3G49490.1,unknown protein; Has 722 Blast hits to 186 proteins in 64 species: Archae - 0; Bacteria - 30; Metazoa - 72; Fungi - 48; Plants - 38; Viruses - 0; Other Eukaryotes - 534 (source: NCBI BLink).,0.70971238,0.000304646
Q9FMV0,AT5G63520.1,"CONTAINS InterPro DOMAIN/s: F-box domain, Skp2-like (InterPro:IPR022364), FIST C domain (InterPro:IPR019494), FIST domain, N-terminal (InterPro:IPR013702); Has 137 Blast hits to 137 proteins in 56 species: Archae - 0; Bacteria - 88; Metazoa - 6; Fungi - 0; Plants - 32; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).",0.709109883,0.000652813
Q9FNK4,AT5G46180.1,ornithine-delta-aminotransferase,0.709108513,2.26967E-05
Q7X843,AT3G48030.1,hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein,0.707854947,0.003011565
Q9LHH1,AT3G12370.1,Ribosomal protein L10 family protein,0.707281908,1.66625E-06
Q9C522,AT3G06650.1,ATP-citrate lyase B-1,0.706556893,0.000643353
Q56Y17,AT2G28310.2,Protein of unknown function (DUF707),0.705734468,0.000242935
P93033,AT2G47510.2,fumarase 1,0.705341106,0.002081434
Q9M076,AT4G32840.1,phosphofructokinase 6,0.705235311,1.25188E-05
O22813,AT2G33630.1,NAD(P)-binding Rossmann-fold superfamily protein,0.705089465,0.021929247
Q42564,AT4G35000.1,ascorbate peroxidase 3,0.704750431,0.000600899
Q8RY00,AT3G48820.1,Glycosyltransferase family 29 (sialyltransferase) family protein,0.703885038,0.004842578
O23144,AT4G27500.1,proton pump interactor 1,0.703768159,0.004263934
Q93YN4,AT5G22350.1,Protein of unknown function (DUF1022),0.703307127,0.000468795
Q9LUD3,AT3G14610.1,"cytochrome P450, family 72, subfamily A, polypeptide 7",0.703247908,0.000452205
Q9C713,AT1G66530.1,"Arginyl-tRNA synthetase, class Ic",0.702308456,0.009899947
Q8RWU2,AT1G50120.1,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Rgp1 (InterPro:IPR014848), Immunoglobulin E-set (InterPro:IPR014756); Has 144 Blast hits to 140 proteins in 61 species: Archae - 0; Bacteria - 0; Metazoa - 86; Fungi - 10; Plants - 39; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink).",0.702178265,0.00027034
Q9SIB9,AT2G05710.1,aconitase 3,0.701308673,0.002579662
Q9LP77,AT1G48480.1,receptor-like kinase 1,0.70123177,0.003783974
Q8GYD1,AT1G07960.1,PDI-like 5-1,0.700867729,0.000174938
Q9S757,AT3G61440.1,cysteine synthase C1,0.700860835,0.000366849
Q8GUI9,AT5G49900.1,"Beta-glucosidase, GBA2 type family protein",0.700726175,1.4652E-05
Q9C8H3,AT1G51570.1,Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein,0.699974768,0.000319242
Q9LXJ2,AT3G52730.1,ubiquinol-cytochrome C reductase UQCRX/QCR9-like family protein,0.699249927,0.000265753
O65572,AT3G63520.1,carotenoid cleavage dioxygenase 1,0.699192742,0.000293926
Q8RWR9,AT5G42070.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",0.699061007,0.003234297
Q9LK57,AT3G13160.1,Tetratricopeptide repeat (TPR)-like superfamily protein,0.69884043,0.000123008
Q9LSE1,AT3G26940.1,Protein kinase superfamily protein,0.698662485,0.000468683
Q93W95,AT4G00740.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.697280447,2.20986E-05
Q8VZQ8,AT2G31240.1,Tetratricopeptide repeat (TPR)-like superfamily protein,0.696889134,0.135265255
Q9SYB5,AT1G61790.1,Oligosaccharyltransferase complex/magnesium transporter family protein,0.69681222,0.003285507
Q9XH48,AT1G61570.1,translocase of the inner mitochondrial membrane 13,0.696730854,0.000840342
Q9C6I6,AT1G50940.1,electron transfer flavoprotein alpha,0.696348636,0.005618439
Q8RWB7,AT1G29790.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.696285161,0.000265984
P57681,AT5G63910.1,farnesylcysteine lyase,0.695671223,0.000296259
Q9FNA9,AT5G13640.1,phospholipid:diacylglycerol acyltransferase,0.695645902,0.001499401
Q9ZV56,AT2G32260.1,phosphorylcholine cytidylyltransferase,0.695596788,0.013452779
Q9SL48,AT2G17980.1,Sec1/munc18-like (SM) proteins superfamily,0.69404271,3.51021E-05
Q9T069,AT4G37820.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G22795.1); Has 433572 Blast hits to 177005 proteins in 4263 species: Archae - 2016; Bacteria - 67591; Metazoa - 157995; Fungi - 49745; Plants - 22011; Viruses - 2192; Other Eukaryotes - 132022 (source: NCBI BLink).,0.693943022,0.000297303
P19171,AT3G12500.1,basic chitinase,0.693422354,0.001269175
O65787,AT2G24180.1,cytochrome p450 71b6,0.693128205,0.002043903
Q94A28,AT4G26970.1,aconitase 2,0.692944318,0.003737985
Q94AT1,AT5G53140.1,Protein phosphatase 2C family protein,0.692034576,0.000362603
Q8LCT2,AT3G55605.1,Mitochondrial glycoprotein family protein,0.691794622,0.001769136
Q9SZB3,AT4G33360.1,NAD(P)-binding Rossmann-fold superfamily protein,0.691465298,0.004158198
Q94AM8,AT4G30996.1,Protein of unknown function (DUF1068),0.691096751,0.000188371
Q93ZX7,AT5G47780.1,galacturonosyltransferase 4,0.69056543,1.29376E-05
Q8LPF7,AT1G78800.1,UDP-Glycosyltransferase superfamily protein,0.690480114,0.000141802
Q9SBB2,AT4G01660.1,ABC transporter 1,0.68921739,1.75272E-05
Q38867,AT3G56070.1,rotamase cyclophilin 2,0.688695031,0.005906987
Q9SI77,AT1G62730.1,Terpenoid synthases superfamily protein,0.688583773,0.000346077
Q9LTV6,AT3G12800.1,short-chain dehydrogenase-reductase B,0.688416319,0.000291616
Q9MAU6,AT1G04980.1,PDI-like 2-2,0.687906334,7.47643E-06
Q9LR30,AT1G23310.1,glutamate:glyoxylate aminotransferase,0.68773681,0.001942257
Q84P23,AT5G63380.1,AMP-dependent synthetase and ligase family protein,0.687483741,0.00065911
O82567,AT1G13560.1,aminoalcoholphosphotransferase 1,0.686633208,0.00852376
Q8LAL0,AT4G39740.1,Thioredoxin superfamily protein,0.686395326,8.30503E-06
Q84W12,AT4G16450.2,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photorespiration; LOCATED IN: mitochondrion, mitochondrial membrane, mitochondrial respiratory chain complex I, respiratory chain complex I; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages.",0.686276381,7.99648E-05
Q8GUM2,AT4G37910.1,mitochondrial heat shock protein 70-1,0.685729224,0.00027034
Q9LTI3,AT5G59470.1,Mannose-P-dolichol utilization defect 1 protein,0.685196579,0.011543414
Q9SY55,AT1G10130.1,endoplasmic reticulum-type calcium-transporting ATPase 3,0.684811295,8.72466E-05
Q8W476,AT1G06200.1,Peptidase S24/S26A/S26B/S26C family protein,0.684326444,1.25514E-05
Q9XGX9,AT3G46560.1,Tim10/DDP family zinc finger protein,0.683746902,0.001751332
Q8RX89,AT5G23390.1,Plant protein of unknown function (DUF639),0.682774552,0.000546695
Q8RWN9,AT3G13930.1,"Dihydrolipoamide acetyltransferase, long form protein",0.682273941,0.000950906
Q9ZNT1,AT5G17770.1,NADH:cytochrome B5 reductase 1,0.681209853,0.000205598
O49627,AT4G22220.1,SufE/NifU family protein,0.680457343,0.010043657
Q38799,AT5G50850.1,Transketolase family protein,0.679721008,0.001134201
P29197,AT3G23990.1,heat shock protein 60,0.678961983,0.001887636
Q9M647,AT1G68100.1,ZIP metal ion transporter family,0.678301956,0.04572756
Q8GWR1,AT3G56900.1,Transducin/WD40 repeat-like superfamily protein,0.678174433,4.07108E-05
Q9LDC0,AT3G21640.1,FKBP-type peptidyl-prolyl cis-trans isomerase family protein,0.677860345,0.003234297
Q8W486,AT1G04910.1,O-fucosyltransferase family protein,0.677670022,7.73254E-05
O82399,AT2G22780.1,peroxisomal NAD-malate dehydrogenase 1,0.677545565,0.000134486
Q9SAH1,AT1G80890.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G16000.1); Has 41 Blast hits to 40 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.677398502,0.024657655
Q9ZW86,AT2G43080.1,P4H isoform 1,0.676757903,0.000181517
Q2V3L9,AT4G00026.1,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: Mitochondrial inner membrane translocase complex, subunit Tim21 (InterPro:IPR013261); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",0.676401717,0.000432533
Q9LQ73,AT1G01820.1,peroxin 11c,0.675749276,0.000271389
O80988,AT2G26080.1,glycine decarboxylase P-protein 2,0.675676539,0.001700437
O80452,AT2G38280.2,"AMP deaminase, putative / myoadenylate deaminase, putative",0.675224477,0.000766679
Q84JL8,AT1G04985.1,unknown protein; Has 37 Blast hits to 37 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.675206867,0.000255982
Q42525,AT4G29130.1,hexokinase 1,0.674619666,0.001340157
Q0WVZ1,AT3G03305.1,Calcineurin-like metallo-phosphoesterase superfamily protein,0.674447702,0.002157559
Q8VYP7,AT3G62560.1,Ras-related small GTP-binding family protein,0.674101008,0.005359582
Q4V3D9,AT3G57030.1,Calcium-dependent phosphotriesterase superfamily protein,0.674079951,0.000661909
Q9LZI2,AT3G62830.1,NAD(P)-binding Rossmann-fold superfamily protein,0.67309035,0.000326116
Q93ZH1,AT1G27210.1,ARM repeat superfamily protein,0.673073764,0.00029432
Q94C90,AT1G04900.1,Protein of unknown function (DUF185),0.672786018,0.002916044
Q9ZRT5,AT5G41210.1,glutathione S-transferase THETA 1,0.671948272,5.16271E-06
Q8RWC3,AT3G19340.1,Protein of unknown function (DUF3754),0.671846164,3.57049E-05
O23463,AT4G16150.1,calmodulin binding;transcription regulators,0.671175919,0.013758227
Q8L970,AT3G28480.1,Oxoglutarate/iron-dependent oxygenase,0.671167734,0.006180122
Q93ZE8,AT2G25110.1,stromal cell-derived factor 2-like protein precursor,0.670916614,0.000561219
Q8LFZ9,AT4G26620.1,Sucrase/ferredoxin-like family protein,0.670574408,2.06472E-06
Q8L8N3,AT2G17350.1,unknown protein; Has 119 Blast hits to 93 proteins in 40 species: Archae - 0; Bacteria - 3; Metazoa - 18; Fungi - 12; Plants - 44; Viruses - 0; Other Eukaryotes - 42 (source: NCBI BLink).,0.670319963,0.005323963
Q9LK25,AT3G27280.2,prohibitin 4,0.670238844,0.000598219
Q9LDZ0,AT5G09590.1,mitochondrial HSO70 2,0.66998663,7.0617E-05
Q9SCL7,AT3G57560.1,N-acetyl-l-glutamate kinase,0.669724377,0.046053249
Q93XX4,AT1G53590.1,Calcium-dependent lipid-binding (CaLB domain) family protein,0.669667979,0.007436434
Q8L744,AT1G73430.2,sec34-like family protein,0.668858055,0.003840311
Q9M147,AT4G01210.1,glycosyl transferase family 1 protein,0.668809567,9.75487E-05
Q8GWB7,AT5G18480.1,plant glycogenin-like starch initiation protein 6,0.668134716,2.06942E-05
Q8L7Y9,AT1G07230.1,non-specific phospholipase C1,0.667722863,0.000569709
Q9LZJ3,AT3G62720.2,xylosyltransferase 1,0.66567267,2.27254E-05
Q9C909,AT1G74230.1,glycine-rich RNA-binding protein 5,0.66513937,0.001355699
Q9FNN0,AT5G08580.1,Calcium-binding EF hand family protein,0.664021121,6.32325E-06
Q9ZVI9,AT2G38670.1,phosphorylethanolamine cytidylyltransferase 1,0.663326105,1.5667E-05
Q9M0B6,AT4G30440.1,UDP-D-glucuronate 4-epimerase 1,0.663234552,7.80385E-05
Q9M266,AT3G61990.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.662669424,8.02401E-07
Q8L8T2,AT5G63030.1,Thioredoxin superfamily protein,0.662084442,7.27908E-05
Q9FYF7,AT1G67360.1,Rubber elongation factor protein (REF),0.661440494,0.000616262
Q9M2P9,AT3G57990.1,unknown protein; Has 1497 Blast hits to 1323 proteins in 52 species: Archae - 0; Bacteria - 4; Metazoa - 23; Fungi - 34; Plants - 61; Viruses - 0; Other Eukaryotes - 1375 (source: NCBI BLink).,0.660451642,0.000859885
Q9SZL5,AT4G38150.1,Pentatricopeptide repeat (PPR) superfamily protein,0.660246982,0.002266918
Q940Q8,AT5G61840.1,Exostosin family protein,0.660194239,3.78018E-05
Q9FZ33,AT1G54990.1,alpha/beta-Hydrolases superfamily protein,0.659808192,8.33934E-06
Q9M812,AT1G52220.1,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: photosystem I P subunit (TAIR:AT2G46820.2); Has 291 Blast hits to 291 proteins in 50 species: Archae - 0; Bacteria - 90; Metazoa - 0; Fungi - 0; Plants - 200; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",0.659796304,0.050346239
Q84K35,AT1G50510.1,indigoidine synthase A family protein,0.659255921,3.65754E-05
Q6NMI3,AT1G31780.1,CONTAINS InterPro DOMAIN/s: Conserved oligomeric complex COG6 (InterPro:IPR010490); Has 384 Blast hits to 379 proteins in 190 species: Archae - 0; Bacteria - 4; Metazoa - 151; Fungi - 156; Plants - 42; Viruses - 0; Other Eukaryotes - 31 (source: NCBI BLink).,0.659029227,0.004022644
Q8H116,AT3G21160.1,alpha-mannosidase 2,0.658960453,0.007563399
O49460,AT4G28510.1,prohibitin 1,0.658430631,0.005410733
Q9M5K2,AT3G17240.1,lipoamide dehydrogenase 2,0.657683656,0.001833249
Q9C9B9,AT1G73980.1,Phosphoribulokinase / Uridine kinase family,0.657465391,2.57339E-05
P92939,AT1G07810.1,ER-type Ca2+-ATPase 1,0.657086155,8.13137E-06
Q9FLP3,AT5G55200.1,Co-chaperone GrpE family protein,0.656357285,0.000946539
Q940J9,AT1G04430.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.655780169,0.000603886
B7ZWR6,AT5G21990.1,Tetratricopeptide repeat (TPR)-like superfamily protein,0.655736869,2.45808E-05
Q8LAN3,AT5G18900.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,0.655662645,0.001077881
P34893,AT1G14980.1,chaperonin 10,0.65489839,0.007635355
Q9FLB7,AT5G05370.1,"Cytochrome b-c1 complex, subunit 8 protein",0.65426793,0.065621887
Q9LK30,AT3G27230.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.653841295,0.00022536
Q9LHK2,AT3G12590.1,unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; Has 50 Blast hits to 41 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 43; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).,0.653769178,0.000158094
Q94F09,AT1G35620.1,PDI-like 5-2,0.65347105,5.61465E-05
Q9LXS6,AT3G58750.1,citrate synthase 2,0.653329767,3.0427E-05
Q8LGF7,AT5G25760.1,peroxin4,0.653237863,0.000196703
Q9ZU25,AT1G51980.1,Insulinase (Peptidase family M16) protein,0.65279846,0.004180729
Q9SJS8,AT2G21510.1,DNAJ heat shock N-terminal domain-containing protein,0.652772614,0.00283252
Q8VXY9,AT5G43600.1,ureidoglycolate amidohydrolase,0.652617414,1.03808E-05
Q9ASS9,AT4G24840.1,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: protein transport, Golgi organization; LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: COG complex component, COG2 (InterPro:IPR009316); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",0.652551688,0.003407098
Q0WR20,AT3G27570.1,Sucrase/ferredoxin-like family protein,0.652259625,1.63893E-06
Q84M92,AT1G18450.1,actin-related protein 4,0.651823474,0.000373013
Q9SHB0,AT2G40800.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G56430.1); Has 43 Blast hits to 43 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,0.651415247,2.96142E-05
Q9C509,AT1G27980.1,dihydrosphingosine phosphate lyase,0.651167071,4.05931E-05
Q8L7U3,AT1G14620.1,decoy,0.650308793,0.002176636
Q9FGK0,AT5G47570.1,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.650075048,5.0608E-05
O64948,AT5G47040.1,lon protease 2,0.649918972,0.005697438
Q9M159,AT4G01040.1,Glycosyl hydrolase superfamily protein,0.649751261,0.000716316
Q8RWZ3,AT3G06810.1,acyl-CoA dehydrogenase-related,0.649541703,0.000732441
P25857,AT1G42970.1,glyceraldehyde-3-phosphate dehydrogenase B subunit,0.647802757,1.62666E-05
Q9SI07,AT2G04280.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G12700.1); Has 130 Blast hits to 130 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 124; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink).,0.647162018,0.000156126
Q94B54,AT1G20430.1,unknown protein; Has 29 Blast hits to 29 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 29; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.646973759,0.002691637
Q0WUZ5,AT5G65470.1,O-fucosyltransferase family protein,0.646701804,0.000146546
P82874,AT3G27080.1,translocase of outer membrane 20 kDa subunit 3,0.646546817,0.000230933
Q9SAA9,AT1G11680.1,CYTOCHROME P450 51G1,0.646272297,0.000554093
Q9ZSJ7,AT3G24160.1,putative type 1 membrane protein,0.645957657,1.90481E-05
Q9SU63,AT3G48000.1,aldehyde dehydrogenase 2B4,0.645861746,0.000648281
Q0WNW4,AT5G16720.1,"Protein of unknown function, DUF593",0.645774411,0.000238094
Q8VYK3,AT5G49555.1,FAD/NAD(P)-binding oxidoreductase family protein,0.644464186,0.000968294
Q8L8W5,AT3G55920.1,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein,0.644401871,0.006765666
Q8LFD6,AT5G59960.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.644249943,0.002976091
P82805,AT5G40930.1,translocase of outer membrane 20-4,0.643605668,3.03267E-06
Q9SS93,AT3G01620.1,"beta-1,4-N-acetylglucosaminyltransferase family protein",0.64343874,3.26303E-05
Q9FFG3,AT5G05520.1,Outer membrane OMP85 family protein,0.643003347,0.000972891
Q9M651,AT5G19320.1,RAN GTPase activating protein 2,0.642698809,3.91856E-05
Q43314,AT5G18170.1,glutamate dehydrogenase 1,0.642577824,0.000188128
O23298,AT4G14420.1,HR-like lesion-inducing protein-related,0.641976621,0.045474317
Q9SH59,AT1G64090.1,Reticulan like protein B3,0.64146318,5.14965E-05
Q9XES1,AT1G07670.1,endomembrane-type CA-ATPase 4,0.641087976,2.10429E-05
Q84P18,AT5G23050.1,acyl-activating enzyme 17,0.641004016,1.7995E-06
Q9SIL6,AT2G20530.2,prohibitin 6,0.640346234,0.004101155
O82357,AT2G46110.1,ketopantoate hydroxymethyltransferase 1,0.640308448,0.001291335
Q9XGZ3,AT5G25940.1,early nodulin-related,0.639893863,0.008195812
Q9LE59,AT3G61130.1,galacturonosyltransferase 1,0.63955134,1.2364E-06
Q9C913,AT1G74280.1,alpha/beta-Hydrolases superfamily protein,0.637878403,2.11665E-05
Q9LU25,AT3G16200.1,unknown protein; Has 97 Blast hits to 97 proteins in 15 species: Archae - 0; Bacteria - 8; Metazoa - 0; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 53 (source: NCBI BLink).,0.637132938,0.000637417
Q9M0F9,AT4G29220.1,phosphofructokinase 1,0.636903573,0.000871506
Q9SKP4,AT2G21190.1,ER lumen protein retaining receptor family protein,0.635409759,3.06332E-05
Q9ZPV5,AT2G18220.1,Noc2p family,0.632488027,0.0132664
Q84K25,AT5G11980.1,conserved oligomeric Golgi complex component-related / COG complex component-related,0.632482607,8.59576E-05
A9X4U2,AT2G43420.1,3-beta hydroxysteroid dehydrogenase/isomerase family protein,0.632120036,0.006559212
Q8LC42,AT1G05430.1,unknown protein; Has 31 Blast hits to 31 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 31; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.630751568,9.81969E-05
Q9LSX7,AT3G21865.1,peroxin 22,0.630737834,0.000298063
Q8S8S1,AT2G45690.1,shrunken seed protein (SSE1),0.630626064,0.01136368
Q9ZPY5,AT2G46540.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 16 growth stages; Has 42 Blast hits to 42 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",0.63011736,0.000604251
O04658,AT5G27120.1,NOP56-like pre RNA processing ribonucleoprotein,0.629985224,0.043453404
Q9M7T0,AT3G06050.1,peroxiredoxin IIF,0.629879811,0.0003672
Q9ZQ87,AT2G03510.1,SPFH/Band 7/PHB domain-containing membrane-associated protein family,0.629731777,8.81306E-06
Q8VZC3,AT5G62530.1,aldehyde dehydrogenase 12A1,0.629637266,0.000293926
Q9LXZ4,AT3G56460.1,GroES-like zinc-binding alcohol dehydrogenase family protein,0.629516942,0.000165725
Q9S850,AT3G01910.1,sulfite oxidase,0.629418827,2.14237E-05
Q0WRS4,AT3G07770.1,HEAT SHOCK PROTEIN 89.1,0.628224282,0.000368152
Q9SLB5,AT2G42450.1,alpha/beta-Hydrolases superfamily protein,0.626143405,0.002449118
O48671,AT2G21600.1,endoplasmatic reticulum retrieval protein 1B,0.625454834,5.28147E-05
Q9ZW33,AT2G29530.1,Tim10/DDP family zinc finger protein,0.625398635,0.026261668
Q8RXN5,AT1G75200.1,flavodoxin family protein / radical SAM domain-containing protein,0.624688222,9.24964E-05
Q3E953,AT5G25450.1,"Cytochrome bd ubiquinol oxidase, 14kDa subunit",0.62384966,0.000290297
Q9FVI6,AT4G25530.1,FLOWERING WAGENINGEN,0.623541577,0.003543921
P60497,ATMG00270.1,NADH dehydrogenase 6,0.62342357,0.000116437
Q9FNR1,AT5G61030.1,glycine-rich RNA-binding protein 3,0.623159184,0.001079506
Q941B2,AT1G09870.1,histidine acid phosphatase family protein,0.622354906,9.08224E-06
Q9FNC9,AT5G43970.1,translocase of outer membrane 22-V,0.622329461,7.17016E-05
Q9SD04,AT3G51450.1,Calcium-dependent phosphotriesterase superfamily protein,0.621755712,0.006788012
