"","uniprot","Protein.Acc","Protein.Descriptions","up.low","P.value..up.low.","iso_id","uniprot_seq_length","uniprot_seq_md5","coordinate_id","provider","from","to","template","qmean","qmean_norm","seqid","url"
"4428","Q9SAK9","AT1G79390.1","unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).","0.41582853","1.14932e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4429","Q9SBB2","AT4G01660.1","ABC transporter 1","0.68921739","1.75272e-05","623","b43931c9e0385693db9b7c4801eaf508","5f00527b3b9ccac111f7c560","SWISSMODEL","223","609","4ped.1.A","-1.0341632995","0.7338632623","49.3573265076","https://swissmodel.expasy.org/repository/uniprot/Q9SBB2.pdb?provider=swissmodel&from=223&to=609&template=4ped.1.A&provider=swissmodel","Q9SBB2"
"4430","Q9SBB2","AT4G01660.1","ABC transporter 1","0.68921739","1.75272e-05","623","b43931c9e0385693db9b7c4801eaf508","5f00527b3b9ccac111f7c55c","SWISSMODEL","299","513","4jin.1.A","-3.1747952132","0.6519080216","19.0217399597","https://swissmodel.expasy.org/repository/uniprot/Q9SBB2.pdb?provider=swissmodel&from=299&to=513&template=4jin.1.A&provider=swissmodel","Q9SBB2"
"4431","Q9SBB2","AT4G01660.1","ABC transporter 1","0.68921739","1.75272e-05","623","b43931c9e0385693db9b7c4801eaf508","5f00527c3b9ccac111f7c564","SWISSMODEL","207","606","5yjz.1.A","-3.6548303652","0.6433765487","24.7663555145","https://swissmodel.expasy.org/repository/uniprot/Q9SBB2.pdb?provider=swissmodel&from=207&to=606&template=5yjz.1.A&provider=swissmodel","Q9SBB2"
"4432","Q9SCK3","AT3G49560.1","Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein","1.525115802","0.000300878","261","0616bdfc873f4a774b04c27a891be8b3","5cd619201a200b983faf3cc4","SWISSMODEL","63","186","6gcs.1.J","-4.7954708765","0.5286888072","15.0442476273","https://swissmodel.expasy.org/repository/uniprot/Q9SCK3.pdb?provider=swissmodel&from=63&to=186&template=6gcs.1.J&provider=swissmodel","Q9SCK3"
"4433","Q9SCK9","AT3G49490.1","unknown protein; Has 722 Blast hits to 186 proteins in 64 species: Archae - 0; Bacteria - 30; Metazoa - 72; Fungi - 48; Plants - 38; Viruses - 0; Other Eukaryotes - 534 (source: NCBI BLink).","0.70971238","0.000304646","953","28decf090bc3f47f634a1986a2335e82","57f094e6afa35829a9e0fe0c","SWISSMODEL","9","43","4nl7.1.A","-3.3091137199","0.3967271213","31.428571701","https://swissmodel.expasy.org/repository/uniprot/Q9SCK9.pdb?provider=swissmodel&from=9&to=43&template=4nl7.1.A&provider=swissmodel","Q9SCK9"
"4434","Q9SCL7","AT3G57560.1","N-acetyl-l-glutamate kinase","0.669724377","0.046053249","347","b41290e38752f7f95192f470502a0793","5efd9a6c3da3bc209824cc9b","SWISSMODEL","65","347","2buf.1.A","-0.7177586226","0.7384626143","46.4285697937","https://swissmodel.expasy.org/repository/uniprot/Q9SCL7.pdb?provider=swissmodel&from=65&to=347&template=2buf.1.A&provider=swissmodel","Q9SCL7"
"4435","Q9SCL7","AT3G57560.1","N-acetyl-l-glutamate kinase","0.669724377","0.046053249","347","b41290e38752f7f95192f470502a0793","5e843de9e21e9d1baf44545f","PDB","67","347","2rd5","","https://swissmodel.expasy.org/repository/uniprot/Q9SCL7.pdb?from=67&to=347&template=2rd5&provider=pdb","Q9SCL7","347","b41290e38752f7f95192f470502a0793"
"4436","Q9SCL7","AT3G57560.1","N-acetyl-l-glutamate kinase","0.669724377","0.046053249","347","b41290e38752f7f95192f470502a0793","5efd9a6c3da3bc209824cc97","SWISSMODEL","65","347","2rd5.1.B","1.0279196851","0.8158760682","100","https://swissmodel.expasy.org/repository/uniprot/Q9SCL7.pdb?provider=swissmodel&from=65&to=347&template=2rd5.1.B&provider=swissmodel","Q9SCL7"
"4437","Q9SCL7","AT3G57560.1","N-acetyl-l-glutamate kinase","0.669724377","0.046053249","347","b41290e38752f7f95192f470502a0793","5e845dd3568c41429ac727bb","PDB","67","347","4usj","","https://swissmodel.expasy.org/repository/uniprot/Q9SCL7.pdb?from=67&to=347&template=4usj&provider=pdb","Q9SCL7","347","b41290e38752f7f95192f470502a0793"
"4438","Q9SCP9","AT3G53120.1","Modifier of rudimentary (Mod(r)) protein","1.071585853","0.539144974","217","51c8fb5f5449362a92a569720541a6b1","5effc8a3474a1375b795699b","SWISSMODEL","70","195","6pfp.1.A","-0.2412406521","0.7709600261","13.3333330154","https://swissmodel.expasy.org/repository/uniprot/Q9SCP9.pdb?provider=swissmodel&from=70&to=195&template=6pfp.1.A&provider=swissmodel","Q9SCP9"
"4439","Q9SCP9","AT3G53120.1","Modifier of rudimentary (Mod(r)) protein","1.071585853","0.539144974","217","51c8fb5f5449362a92a569720541a6b1","5effc8a3474a1375b7956997","SWISSMODEL","60","209","2p22.1.C","-2.4279968584","0.6616600966","19.310344696","https://swissmodel.expasy.org/repository/uniprot/Q9SCP9.pdb?provider=swissmodel&from=60&to=209&template=2p22.1.C&provider=swissmodel","Q9SCP9"
"4440","Q9SCT4","AT3G51740.1","inflorescence meristem receptor-like kinase 2","2.971566784","1.10217e-06","836","7ec70daec9bf489878b70ea0f04ba91b","5f013bb15cb9dcb3d7bcc820","SWISSMODEL","54","402","6s6q.1.A","-1.5085670387","0.7229449977","32.5779037476","https://swissmodel.expasy.org/repository/uniprot/Q9SCT4.pdb?provider=swissmodel&from=54&to=402&template=6s6q.1.A&provider=swissmodel","Q9SCT4"
"4441","Q9SCT4","AT3G51740.1","inflorescence meristem receptor-like kinase 2","2.971566784","1.10217e-06","836","7ec70daec9bf489878b70ea0f04ba91b","5f013bb15cb9dcb3d7bcc81c","SWISSMODEL","50","422","4hq1.1.A","-2.6989874799","0.6759244465","31.1475410461","https://swissmodel.expasy.org/repository/uniprot/Q9SCT4.pdb?provider=swissmodel&from=50&to=422&template=4hq1.1.A&provider=swissmodel","Q9SCT4"
"4442","Q9SCT4","AT3G51740.1","inflorescence meristem receptor-like kinase 2","2.971566784","1.10217e-06","836","7ec70daec9bf489878b70ea0f04ba91b","5f013bb15cb9dcb3d7bcc814","SWISSMODEL","57","400","5ixo.1.A","-2.5890943376","0.6841969349","35.0877189636","https://swissmodel.expasy.org/repository/uniprot/Q9SCT4.pdb?provider=swissmodel&from=57&to=400&template=5ixo.1.A&provider=swissmodel","Q9SCT4"
"4443","Q9SCT4","AT3G51740.1","inflorescence meristem receptor-like kinase 2","2.971566784","1.10217e-06","836","7ec70daec9bf489878b70ea0f04ba91b","5f013bb15cb9dcb3d7bcc818","SWISSMODEL","47","427","4z61.1.A","-2.3952043181","0.6862154017","38.7267913818","https://swissmodel.expasy.org/repository/uniprot/Q9SCT4.pdb?provider=swissmodel&from=47&to=427&template=4z61.1.A&provider=swissmodel","Q9SCT4"
"4444","Q9SCU1","AT3G51670.1","SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein","1.174404356","0.016485149","409","feb32fca377effb64e8b0923fb8de02e","5efe55e83831f588d77bbabe","SWISSMODEL","82","288","5mue.1.A","-3.5283816911","0.6380319271","32.4175834656","https://swissmodel.expasy.org/repository/uniprot/Q9SCU1.pdb?provider=swissmodel&from=82&to=288&template=5mue.1.A&provider=swissmodel","Q9SCU1"
"4445","Q9SCU1","AT3G51670.1","SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein","1.174404356","0.016485149","409","feb32fca377effb64e8b0923fb8de02e","5efe55e83831f588d77bbac2","SWISSMODEL","38","408","4uyb.1.A","-3.0085606061","0.6655061418","23.3618240356","https://swissmodel.expasy.org/repository/uniprot/Q9SCU1.pdb?provider=swissmodel&from=38&to=408&template=4uyb.1.A&provider=swissmodel","Q9SCU1"
"4446","Q9SCW1","AT3G13750.1","beta galactosidase 1","1.199608489","0.000379969","847","d5d6954dc9c62fed7cbf5499c58bb875","5f013c7becd82a12959142a5","SWISSMODEL","33","730","6ik6.1.A","-1.7430250868","0.7025911828","73.5632171631","https://swissmodel.expasy.org/repository/uniprot/Q9SCW1.pdb?provider=swissmodel&from=33&to=730&template=6ik6.1.A&provider=swissmodel","Q9SCW1"
"4447","Q9SCW1","AT3G13750.1","beta galactosidase 1","1.199608489","0.000379969","847","d5d6954dc9c62fed7cbf5499c58bb875","5f013c7becd82a12959142a9","SWISSMODEL","732","847","5iaz.1.A","-4.9393051536","0.5168907056","50","https://swissmodel.expasy.org/repository/uniprot/Q9SCW1.pdb?provider=swissmodel&from=732&to=847&template=5iaz.1.A&provider=swissmodel","Q9SCW1"
"4448","Q9SCX3","AT5G19510.1","Translation elongation  factor EF1B/ribosomal protein S6 family protein","1.513304061","0.000366675","224","fa784e646cc06b11153d8739a30fead8","5effaea0eb19f9cf39cf33d5","SWISSMODEL","4","85","5dqs.1.B","-2.498411697","0.6329326171","31.325302124","https://swissmodel.expasy.org/repository/uniprot/Q9SCX3.pdb?provider=swissmodel&from=4&to=85&template=5dqs.1.B&provider=swissmodel","Q9SCX3"
"4449","Q9SCX3","AT5G19510.1","Translation elongation  factor EF1B/ribosomal protein S6 family protein","1.513304061","0.000366675","224","fa784e646cc06b11153d8739a30fead8","5effaea0eb19f9cf39cf33d1","SWISSMODEL","99","224","2n51.1.A","-2.1889490621","0.6669318614","58.5365867615","https://swissmodel.expasy.org/repository/uniprot/Q9SCX3.pdb?provider=swissmodel&from=99&to=224&template=2n51.1.A&provider=swissmodel","Q9SCX3"
"4450","Q9SCX8","AT3G17790.1","purple acid phosphatase 17","0.620430623","0.000746221","338","70ab7c4f5757f0a90b82137d37470815","5efdb100d8689edcd55af09f","SWISSMODEL","43","334","2bq8.1.A","-2.3981839234","0.6807745523","26.2411346436","https://swissmodel.expasy.org/repository/uniprot/Q9SCX8.pdb?provider=swissmodel&from=43&to=334&template=2bq8.1.A&provider=swissmodel","Q9SCX8"
"4451","Q9SCZ4","AT3G51550.1","Malectin/receptor-like protein kinase family protein","2.577189621","3.6822e-06","895","e30bd4d8a9fe226264098df8b71ed87f","5de7f31b02efd0fc426dbd91","PDB","29","423","6a5e","","https://swissmodel.expasy.org/repository/uniprot/Q9SCZ4.pdb?from=29&to=423&template=6a5e&provider=pdb","Q9SCZ4","895","e30bd4d8a9fe226264098df8b71ed87f"
"4452","Q9SCZ4","AT3G51550.1","Malectin/receptor-like protein kinase family protein","2.577189621","3.6822e-06","895","e30bd4d8a9fe226264098df8b71ed87f","5f015dd4e2d5d6a93511e9d8","SWISSMODEL","34","424","6a5b.1.A","-0.3758717523","0.7575399655","100","https://swissmodel.expasy.org/repository/uniprot/Q9SCZ4.pdb?provider=swissmodel&from=34&to=424&template=6a5b.1.A&provider=swissmodel","Q9SCZ4"
"4453","Q9SCZ4","AT3G51550.1","Malectin/receptor-like protein kinase family protein","2.577189621","3.6822e-06","895","e30bd4d8a9fe226264098df8b71ed87f","5de7eb6202efd0d5c7aa7aba","PDB","34","424","6a5b","","https://swissmodel.expasy.org/repository/uniprot/Q9SCZ4.pdb?from=34&to=424&template=6a5b&provider=pdb","Q9SCZ4","895","e30bd4d8a9fe226264098df8b71ed87f"
"4454","Q9SD04","AT3G51450.1","Calcium-dependent phosphotriesterase superfamily protein","0.621755712","0.006788012","371","1d5382741b70a185fc1eb87e1c84c2d1","5cd48cc4a03a1b0f6c34a894","SWISSMODEL","66","361","2fpb.1.A","-4.8195519774","0.5867156335","26.4925365448","https://swissmodel.expasy.org/repository/uniprot/Q9SD04.pdb?provider=swissmodel&from=66&to=361&template=2fpb.1.A&provider=swissmodel","Q9SD04"
"4455","Q9SD22","AT3G51250.1","Senescence/dehydration-associated protein-related","1.097906483","0.046144828","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4456","Q9SD44","AT3G51010.1","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 24 Blast hits to 24 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 24; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).","0.814420279","0.116241802","188","1a7178d1ca2574a0524ddeb4457d5c86","5f00512046f305fca286d414","SWISSMODEL","107","186","6xyw.38.A","2.1720389168","0.9372899551","100","https://swissmodel.expasy.org/repository/uniprot/Q9SD44.pdb?provider=swissmodel&from=107&to=186&template=6xyw.38.A&provider=swissmodel","Q9SD44"
"4457","Q9SD66","AT3G47070.1","LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thylakoid soluble phosphoprotein TSP9 (InterPro:IPR021584); Has 37 Blast hits to 37 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).","1.531453773","0.013599523","100","242bd3d983d6a758ed1d9a025d8c4072","5f01ecb2a33d5e5a63e0bd3d","SWISSMODEL","21","100","2fft.1.A","-7.7455741524","0.2933675936","41.772151947","https://swissmodel.expasy.org/repository/uniprot/Q9SD66.pdb?provider=swissmodel&from=21&to=100&template=2fft.1.A&provider=swissmodel","Q9SD66"
"4458","Q9SD67","AT3G47060.1","FTSH protease 7","0.927356879","0.46205662","802","6fee50d4d54b6a7724b0a0527d4bc68a","5f012069dd03748024b98237","SWISSMODEL","320","776","3kds.1.F","-1.9420859536","0.6956265561","49.4432067871","https://swissmodel.expasy.org/repository/uniprot/Q9SD67.pdb?provider=swissmodel&from=320&to=776&template=3kds.1.F&provider=swissmodel","Q9SD67"
"4459","Q9SD67","AT3G47060.1","FTSH protease 7","0.927356879","0.46205662","802","6fee50d4d54b6a7724b0a0527d4bc68a","5f012069dd03748024b9823c","SWISSMODEL","317","790","6nyy.1.D","-2.9445546172","0.6794840865","45.1965065002","https://swissmodel.expasy.org/repository/uniprot/Q9SD67.pdb?provider=swissmodel&from=317&to=790&template=6nyy.1.D&provider=swissmodel","Q9SD67"
"4460","Q9SD67","AT3G47060.1","FTSH protease 7","0.927356879","0.46205662","802","6fee50d4d54b6a7724b0a0527d4bc68a","5f01206add03748024b98240","SWISSMODEL","318","783","4eiw.1.A","-4.2872556522","0.6135751119","45.1820144653","https://swissmodel.expasy.org/repository/uniprot/Q9SD67.pdb?provider=swissmodel&from=318&to=783&template=4eiw.1.A&provider=swissmodel","Q9SD67"
"4461","Q9SD67","AT3G47060.1","FTSH protease 7","0.927356879","0.46205662","802","6fee50d4d54b6a7724b0a0527d4bc68a","5f012069dd03748024b98232","SWISSMODEL","322","741","2ce7.1.D","-2.7546769157","0.6671960924","56.9974555969","https://swissmodel.expasy.org/repository/uniprot/Q9SD67.pdb?provider=swissmodel&from=322&to=741&template=2ce7.1.D&provider=swissmodel","Q9SD67"
"4462","Q9SDA2","AT5G07820.1","Plant calmodulin-binding protein-related","1.101132816","0.305345869","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4463","Q9SDS7","AT1G12840.1","vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3)","1.054118295","0.088318048","375","f0bf89965de708e5fbe4331d5beb1cd8","5efd9c24f80d277ba4caca2a","SWISSMODEL","3","374","6vq7.1.G","-1.2010880195","0.7299759088","39.7849464417","https://swissmodel.expasy.org/repository/uniprot/Q9SDS7.pdb?provider=swissmodel&from=3&to=374&template=6vq7.1.G&provider=swissmodel","Q9SDS7"
"4464","Q9SE51","AT3G17910.1","Surfeit locus 1 cytochrome c oxidase biogenesis protein","0.566865367","2.17535e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4465","Q9SE60","AT3G59970.3","methylenetetrahydrofolate reductase 1","1.10145931","0.223743522","Q9SE60-1","592","141afd36b85f7931b9c6218613547459","5f0002f3357e75bd27757478","SWISSMODEL","1","591","6fcx.1.A","-2.5367540796","0.6748206508","44.4636688232","https://swissmodel.expasy.org/repository/uniprot/Q9SE60.pdb?provider=swissmodel&from=1&to=591&template=6fcx.1.A&provider=swissmodel"
"4466","Q9SE96","AT1G28200.1","FH interacting protein 1","1.645663779","0.001686446","259","98229d31907a9a09e3718ad9fea652dd","5eff39b4eb14851ace140763","SWISSMODEL","136","257","5yqr.1.A","-0.6698230679","0.7482038252","26.4150943756","https://swissmodel.expasy.org/repository/uniprot/Q9SE96.pdb?provider=swissmodel&from=136&to=257&template=5yqr.1.A&provider=swissmodel","Q9SE96"
"4467","Q9SE97","AT3G25500.1","formin homology 1","2.101895893","8.42036e-07","1051","38acb722f14c12ca0ab9911e4216667e","5f01de578822d770f594934b","SWISSMODEL","591","994","3o4x.1.D","-4.2870917876","0.6200857061","27.7777786255","https://swissmodel.expasy.org/repository/uniprot/Q9SE97.pdb?provider=swissmodel&from=591&to=994&template=3o4x.1.D&provider=swissmodel","Q9SE97"
"4468","Q9SE97","AT3G25500.1","formin homology 1","2.101895893","8.42036e-07","1051","38acb722f14c12ca0ab9911e4216667e","5f01de578822d770f5949347","SWISSMODEL","589","997","2z6e.2.A","-3.0966680166","0.6552307051","25.2604160309","https://swissmodel.expasy.org/repository/uniprot/Q9SE97.pdb?provider=swissmodel&from=589&to=997&template=2z6e.2.A&provider=swissmodel","Q9SE97"
"4469","Q9SE97","AT3G25500.1","formin homology 1","2.101895893","8.42036e-07","1051","38acb722f14c12ca0ab9911e4216667e","5f01de578822d770f5949343","SWISSMODEL","589","995","4eah.1.B","-4.1474264193","0.6260655079","23.7196769714","https://swissmodel.expasy.org/repository/uniprot/Q9SE97.pdb?provider=swissmodel&from=589&to=995&template=4eah.1.B&provider=swissmodel","Q9SE97"
"4470","Q9SE97","AT3G25500.1","formin homology 1","2.101895893","8.42036e-07","1051","38acb722f14c12ca0ab9911e4216667e","5f01de578822d770f594934f","SWISSMODEL","592","996","1ux5.1.B","-4.9712240597","0.5896448199","19.1891899109","https://swissmodel.expasy.org/repository/uniprot/Q9SE97.pdb?provider=swissmodel&from=592&to=996&template=1ux5.1.B&provider=swissmodel","Q9SE97"
"4471","Q9SE97","AT3G25500.1","formin homology 1","2.101895893","8.42036e-07","1051","38acb722f14c12ca0ab9911e4216667e","5f01de578822d770f5949353","SWISSMODEL","873","995","6ian.1.B","-0.7074854335","0.7462341578","11.4754095078","https://swissmodel.expasy.org/repository/uniprot/Q9SE97.pdb?provider=swissmodel&from=873&to=995&template=6ian.1.B&provider=swissmodel","Q9SE97"
"4472","Q9SE97","AT3G25500.1","formin homology 1","2.101895893","8.42036e-07","1051","38acb722f14c12ca0ab9911e4216667e","5de8033302efd04b862ccbb5","PDB","526","534","6iqj","","https://swissmodel.expasy.org/repository/uniprot/Q9SE97.pdb?from=526&to=534&template=6iqj&provider=pdb","Q9SE97","1051","38acb722f14c12ca0ab9911e4216667e"
"4473","Q9SEE5","AT3G06580.1","Mevalonate/galactokinase family protein","1.416880508","1.3386e-05","496","c13a737c7e68516ea9b13eb088008275","5eff603448cfd89085564589","SWISSMODEL","25","494","2a2d.1.A","-3.5296972701","0.6582505652","46.6063346863","https://swissmodel.expasy.org/repository/uniprot/Q9SEE5.pdb?provider=swissmodel&from=25&to=494&template=2a2d.1.A&provider=swissmodel","Q9SEE5"
"4474","Q9SEE5","AT3G06580.1","Mevalonate/galactokinase family protein","1.416880508","1.3386e-05","496","c13a737c7e68516ea9b13eb088008275","5eff603448cfd8908556458d","SWISSMODEL","7","496","2aj4.1.A","-2.7148951414","0.6829197835","35.196685791","https://swissmodel.expasy.org/repository/uniprot/Q9SEE5.pdb?provider=swissmodel&from=7&to=496&template=2aj4.1.A&provider=swissmodel","Q9SEE5"
"4475","Q9SEE5","AT3G06580.1","Mevalonate/galactokinase family protein","1.416880508","1.3386e-05","496","c13a737c7e68516ea9b13eb088008275","5eff603448cfd89085564591","SWISSMODEL","12","496","2a2d.1.A","-2.6580938036","0.6866232904","43.107219696","https://swissmodel.expasy.org/repository/uniprot/Q9SEE5.pdb?provider=swissmodel&from=12&to=496&template=2a2d.1.A&provider=swissmodel","Q9SEE5"
"4476","Q9SEH3","AT4G17530.1","RAB GTPase homolog 1C","1.382402542","0.000626154","202","c50e1f27de49fc6ea0fbc643488cc4b9","5efffbbbc1f053e349912666","SWISSMODEL","1","173","5szh.1.B","-0.2165913044","0.7716214857","79","https://swissmodel.expasy.org/repository/uniprot/Q9SEH3.pdb?provider=swissmodel&from=1&to=173&template=5szh.1.B&provider=swissmodel","Q9SEH3"
"4477","Q9SEI2","AT3G05530.1","regulatory particle triple-A ATPase 5A","1.324256606","0.000901493","424","35a309d8d6bd8935bb9be1a97a2fe67a","5efe71e78a7c04c46b20c8c0","SWISSMODEL","11","424","6fvy.1.TA","-1.6759526472","0.7116338631","70.289855957","https://swissmodel.expasy.org/repository/uniprot/Q9SEI2.pdb?provider=swissmodel&from=11&to=424&template=6fvy.1.TA&provider=swissmodel","Q9SEI2"
"4478","Q9SEI2","AT3G05530.1","regulatory particle triple-A ATPase 5A","1.324256606","0.000901493","424","35a309d8d6bd8935bb9be1a97a2fe67a","5efe71e78a7c04c46b20c8bc","SWISSMODEL","28","417","5mp9.1.DA","-2.926979624","0.6663072001","44.444442749","https://swissmodel.expasy.org/repository/uniprot/Q9SEI2.pdb?provider=swissmodel&from=28&to=417&template=5mp9.1.DA&provider=swissmodel","Q9SEI2"
"4479","Q9SEI2","AT3G05530.1","regulatory particle triple-A ATPase 5A","1.324256606","0.000901493","424","35a309d8d6bd8935bb9be1a97a2fe67a","5efe71e78a7c04c46b20c8b4","SWISSMODEL","23","417","6he8.1.CA","-3.2727445761","0.6559975407","47.0588226318","https://swissmodel.expasy.org/repository/uniprot/Q9SEI2.pdb?provider=swissmodel&from=23&to=417&template=6he8.1.CA&provider=swissmodel","Q9SEI2"
"4480","Q9SEI2","AT3G05530.1","regulatory particle triple-A ATPase 5A","1.324256606","0.000901493","424","35a309d8d6bd8935bb9be1a97a2fe67a","5efe71e78a7c04c46b20c8b0","SWISSMODEL","23","417","6he8.1.HA","-2.0785481792","0.6980984001","47.0588226318","https://swissmodel.expasy.org/repository/uniprot/Q9SEI2.pdb?provider=swissmodel&from=23&to=417&template=6he8.1.HA&provider=swissmodel","Q9SEI2"
"4481","Q9SEI2","AT3G05530.1","regulatory particle triple-A ATPase 5A","1.324256606","0.000901493","424","35a309d8d6bd8935bb9be1a97a2fe67a","5efe71e78a7c04c46b20c8b8","SWISSMODEL","9","424","5l4g.1.GA","-1.6111224304","0.7151936254","77.0685577393","https://swissmodel.expasy.org/repository/uniprot/Q9SEI2.pdb?provider=swissmodel&from=9&to=424&template=5l4g.1.GA&provider=swissmodel","Q9SEI2"
"4482","Q9SEI4","AT5G58290.1","regulatory particle triple-A ATPase 3","1.478572746","7.59599e-07","408","efe054dac937cb755b90428cd3c5ac25","5efe55e03831f588d77bb976","SWISSMODEL","27","399","5mp9.1.CA","-3.5966119163","0.6437863662","38.7700538635","https://swissmodel.expasy.org/repository/uniprot/Q9SEI4.pdb?provider=swissmodel&from=27&to=399&template=5mp9.1.CA&provider=swissmodel","Q9SEI4"
"4483","Q9SEI4","AT5G58290.1","regulatory particle triple-A ATPase 3","1.478572746","7.59599e-07","408","efe054dac937cb755b90428cd3c5ac25","5efe55e03831f588d77bb986","SWISSMODEL","31","399","5mp9.1.DA","-2.9371511386","0.6685198895","49.3224945068","https://swissmodel.expasy.org/repository/uniprot/Q9SEI4.pdb?provider=swissmodel&from=31&to=399&template=5mp9.1.DA&provider=swissmodel","Q9SEI4"
"4484","Q9SEI4","AT5G58290.1","regulatory particle triple-A ATPase 3","1.478572746","7.59599e-07","408","efe054dac937cb755b90428cd3c5ac25","5efe55e03831f588d77bb972","SWISSMODEL","28","403","6he8.1.CA","-3.1975469209","0.6564974907","49.4680862427","https://swissmodel.expasy.org/repository/uniprot/Q9SEI4.pdb?provider=swissmodel&from=28&to=403&template=6he8.1.CA&provider=swissmodel","Q9SEI4"
"4485","Q9SEI4","AT5G58290.1","regulatory particle triple-A ATPase 3","1.478572746","7.59599e-07","408","efe054dac937cb755b90428cd3c5ac25","5efe55e03831f588d77bb97e","SWISSMODEL","18","408","6epd.1.CA","-3.2539345197","0.654821546","80.3030319214","https://swissmodel.expasy.org/repository/uniprot/Q9SEI4.pdb?provider=swissmodel&from=18&to=408&template=6epd.1.CA&provider=swissmodel","Q9SEI4"
"4486","Q9SEI4","AT5G58290.1","regulatory particle triple-A ATPase 3","1.478572746","7.59599e-07","408","efe054dac937cb755b90428cd3c5ac25","5efe55e03831f588d77bb97a","SWISSMODEL","27","399","5mpb.1.CA","-3.6029538048","0.6435593045","38.7700538635","https://swissmodel.expasy.org/repository/uniprot/Q9SEI4.pdb?provider=swissmodel&from=27&to=399&template=5mpb.1.CA&provider=swissmodel","Q9SEI4"
"4487","Q9SEI4","AT5G58290.1","regulatory particle triple-A ATPase 3","1.478572746","7.59599e-07","408","efe054dac937cb755b90428cd3c5ac25","5efe55e03831f588d77bb982","SWISSMODEL","28","403","6he9.1.CA","-2.4292389446","0.6843652984","49.4680862427","https://swissmodel.expasy.org/repository/uniprot/Q9SEI4.pdb?provider=swissmodel&from=28&to=403&template=6he9.1.CA&provider=swissmodel","Q9SEI4"
"4488","Q9SEL5","AT1G26670.1","Vesicle transport v-SNARE family protein","1.9931457","9.60758e-05","222","f64d36a6810e4d9369058d19889f2006","5effb551cabb6fb9045eb6c1","SWISSMODEL","36","196","1c1g.1.B","-1.0247986397","0.7314754162","13.75","https://swissmodel.expasy.org/repository/uniprot/Q9SEL5.pdb?provider=swissmodel&from=36&to=196&template=1c1g.1.B&provider=swissmodel","Q9SEL5"
"4489","Q9SEL6","AT5G39510.1","Vesicle transport v-SNARE family protein","1.102325946","0.066471361","221","e11d52e9a3b29f2a7a04cc6c2216c6f5","5effb905529d7b87e1649e57","SWISSMODEL","120","195","2nps.1.C","-0.903286471","0.7337294128","42.3076934814","https://swissmodel.expasy.org/repository/uniprot/Q9SEL6.pdb?provider=swissmodel&from=120&to=195&template=2nps.1.C&provider=swissmodel","Q9SEL6"
"4490","Q9SEU6","AT3G15360.1","thioredoxin M-type 4","1.336887234","0.000997661","193","f86ecc834b3900d0565adde8aff52473","5f001b74c9218873501dcfd9","SWISSMODEL","87","191","1fb0.1.A","1.0698912636","0.8485549979","59.047618866","https://swissmodel.expasy.org/repository/uniprot/Q9SEU6.pdb?provider=swissmodel&from=87&to=191&template=1fb0.1.A&provider=swissmodel","Q9SEU6"
"4491","Q9SEU8","AT4G03520.1","Thioredoxin superfamily protein","1.147553581","0.181603571","Q9SEU8-1","186","aaa2ba433fc1a61a5e37bc4d20456d52","5f0058fe2995bb4b291988b0","SWISSMODEL","81","185","2puk.1.C","-0.8401666971","0.7471465625","58.0952377319","https://swissmodel.expasy.org/repository/uniprot/Q9SEU8.pdb?provider=swissmodel&from=81&to=185&template=2puk.1.C&provider=swissmodel"
"4492","Q9SF09","AT3G11900.1","aromatic and neutral transporter 1","0.755837925","0.023217244","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4493","Q9SF11","AT3G11880.1","Protein of unknown function DUF2359, transmembrane","0.944334275","0.299402201","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
